Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 1,Capa,Mônica,Cebolinha,Magali,Cascão,Yuka,Kraker,,,
Page 2,1,Mônica,Dona Luísa,Sansão,,,,,,
Page 3,1,Mônica,Sansão,,,,,,,
Page 4,1,Mônica,Sansão,,,,,,,
Page 5,1,Mônica,,,,,,,,
Page 6,1,Mônica,Seu Souza,Sansão,,,,,,
Page 7,1,Mônica,Seu Souza,Sansão,,,,,,
Page 8,1,Mônica,Seu Souza,,,,,,,
Page 9,1,Mônica,Seu Souza,,,,,,,
Page 10,1,Cascão,Dona Lurdinha,Seu Antenor,,,,,,
Page 11,1,Cascão,Seu Antenor,,,,,,,
Page 12,1,Cascão,Seu Antenor,,,,,,,
Page 13,1,Cascão,Seu Antenor,Cebolinha,,,,,,
Page 14,1,Cebolinha,Seu Cebola,Maria Cebolinha,,,,,,
Page 15,1,Cebolinha,Dona Cebola,Maria Cebolinha,,,,,,
Page 16,1,Cebolinha,Dona Cebola,Maria Cebolinha,,,,,,
Page 17,1,Cebolinha,Maria Cebolinha,Mônica,,,,,,
Page 18,1,Magali,Seu Carlito,Mingau,Aveia,,,,,
Page 19,1,Magali,Dona Lili,Seu Carlito,,,,,,
Page 20,1,Mônica,Dona Luísa,,,,,,,
Page 21,1,Dona Luísa,Yuka,,,,,,,
Page 22,1,Mônica,Dona Luísa,,,,,,,
Page 23,1,Mônica,Dona Luísa,,,,,,,
Page 24,1,Mônica,Dona Luísa,Magali,,,,,,
Page 25,1,Mônica,Seu Souza,Magali,,,,,,
Page 26,1,Dona Luísa,Seu Antenor,,,,,,,
Page 27,1,Cascão,,,,,,,,
Page 28,1,Cebolinha,Maria Cebolinha,Cascão,,,,,,
Page 29,1,Cebolinha,Cascão,,,,,,,
Page 30,1,Cebolinha,Maria Cebolinha,Cascão,,,,,,
Page 31,1,Cebolinha,Cascão,Marina,,,,,,
Page 32,1,Cebolinha,Cascão,,,,,,,
Page 33,1,Cebolinha,Cascão,,,,,,,
Page 34,1,Cebolinha,Cascão,Mônica,Seu Souza,Magali,,,,
Page 35,1,Mônica,Seu Souza,Magali,,,,,,
Page 36,1,Mônica,Magali,,,,,,,
Page 37,1,Mônica,Magali,,,,,,,
Page 38,1,Mônica,Magali,,,,,,,
Page 39,1,Mônica,Cebolinha,,,,,,,
Page 40,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 41,1,Mônica,Cebolinha,Magali,,,,,,
Page 42,2,Franjinha,Prof Falconi,Robô de Boas Vindas,Entregador,,,,,
Page 43,2,Franjinha,Prof Falconi,Robô de Boas Vindas,Entregador,,,,,
Page 44,2,Franjinha,Prof Falconi,,,,,,,
Page 45,2,Franjinha,Entregador,,,,,,,
Page 46,2,Franjinha,Entregador,,,,,,,
Page 47,2,Franjinha,Entregador,,,,,,,
Page 48,2,Franjinha,,,,,,,,
Page 49,2,Franjinha,Anjinho,,,,,,,
Page 50,2,Mônica,Cascão,,,,,,,
Page 51,2,Mônica,Cebolinha,Louco,,,,,,
Page 52,2,Mônica,Cebolinha,Cascão,Louco,,,,,
Page 53,2,Franjinha,Anjinho,,,,,,,
Page 54,2,Franjinha,Anjinho,Prof Falconi,,,,,,
Page 55,2,Franjinha,Prof Falconi,,,,,,,
Page 56,2,Franjinha,Anjinho,Prof Falconi,,,,,,
Page 57,2,Capitão Feio,Prof Falconi,,,,,,,
Page 58,2,Franjinha,Anjinho,Prof Falconi,Capitão Feio,Dragão de Poeira,,,,
Page 59,2,Franjinha,Anjinho,Prof Falconi,Capitão Feio,Dragão de Poeira,,,,
Page 60,2,Franjinha,Anjinho,Prof Falconi,Capitão Feio,,,,,
Page 61,2,Capitão Feio,Prof Falconi,Monstro de Poeira 1,,,,,,
Page 62,2,Capitão Feio,Monstro de Poeira 1,Monstro de Poeira 2,,,,,,
Page 63,2,Franjinha,Anjinho,,,,,,,
Page 64,2,Capitão Feio,Dragão de Poeira,,,,,,,
Page 65,2,Anjinho,Dragão de Poeira,,,,,,,
Page 66,2,Franjinha,Prof Falconi,Monstro de Poeira 1,,,,,,
Page 67,2,Franjinha,Capitão Feio,Prof Falconi,Monstro de Poeira 1,,,,,
Page 68,2,Capitão Feio,Prof Falconi,,,,,,,
Page 69,2,Capitão Feio,,,,,,,,
Page 70,2,Franjinha,Capitão Feio,Prof Falconi,Monstro de Poeira 1,Monstro de Poeira 2,,,,
Page 71,2,Franjinha,Capitão Feio,Prof Falconi,Monstro de Poeira 1,Monstro de Poeira 2,,,,
Page 72,2,Mônica,Cascão,Louco,,,,,,
Page 73,2,Mônica,Franjinha,,,,,,,
Page 74,2,Mônica,Cebolinha,Franjinha,,,,,,
Page 75,2,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 76,2,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 77,2,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,
Page 78,2,Mônica,Cebolinha,Magali,Franjinha,Capitão Feio,Monstro de Poeira 1,,,
Page 79,2,Cascão,Capitão Feio,,,,,,,
Page 80,2,Mônica,Cebolinha,Capitão Feio,,,,,,
Page 81,2,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 82,3,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 83,3,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 84,3,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 85,3,Mônica,Capitão Feio,,,,,,,
Page 86,3,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,,,
Page 87,3,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,,,
Page 88,3,Capitão Feio,Yuka,,,,,,,
Page 89,3,Mônica,Cebolinha,Magali,Cascão,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,
Page 90,3,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 91,3,Capitão Feio,Seu Cebola,,,,,,,
Page 92,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Figurante 1 - 1tmj_01,Cavalo 1,Cavalo 2,Cavalo 3,Cavalo 4
Page 93,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador,Guarda 1,Guarda 2,,
Page 94,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Yuka,Imperador,Guarda 2,,
Page 95,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador,,,,
Page 96,3,Cebolinha,Imperador,,,,,,,
Page 97,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador,,,,
Page 98,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Bóreas,Zephyrus,Euros,Notus,Imperador
Page 99,3,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Bóreas,Zephyrus,Euros,Notus,
