Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23
Page 1,Capa,1,Cebolinha,Sansão,Cascão,#tdm_36 Figurante 1,#tdm_36 Figurante 2,#tdm_36 Figurante 3,#tdm_36 Figurante 4,#tdm_36 Figurante 5,#tdm_36 Figurante 6,#tdm_36 Figurante 7,#tdm_36 Figurante 8,#tdm_36 Figurante 9,#tdm_36 Figurante 10,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,,,,,,,,,
Page 3,,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 4,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 5,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 6,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 7,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 8,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 9,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 10,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 11,1,1,Cascão,Cebolinha,Sansão,,,,,,,,,,,,,,,,,,,,
Page 12,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 13,1,1,Cascão,Cebolinha,#tdm_36 Criança 1,#tdm_36 Criança 2,#tdm_36 Criança 3,,,,,,,,,,,,,,,,,,
Page 14,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 15,1,1,Cascão,Cebolinha,#tdm_36 Criança 4,,,,,,,,,,,,,,,,,,,,
Page 16,1,1,Cascão,Cebolinha,#tdm_36 Criança 4,,,,,,,,,,,,,,,,,,,,
Page 17,1,1,Cascão,Cebolinha,Sansão,Mônica,Magali,,,,,,,,,,,,,,,,,,
Page 18,1,1,Cascão,Cebolinha,Sansão,Mônica,Magali,,,,,,,,,,,,,,,,,,
Page 19,1,1,Cascão,Cebolinha,Sansão,Mônica,Magali,#tdm_36 Mãe 1,#tdm_36 Atendente 1,#tdm_36 Criança 5,#tdm_36 Criança 6,#tdm_36 Sombra 1,#tdm_36 Sombra 2,#tdm_36 Sombra 3,#tdm_36 Sombra 4,#tdm_36 Sombra 5,#tdm_36 Sombra 6,#tdm_36 Sombra 7,#tdm_36 Sombra 8,#tdm_36 Sombra 9,#tdm_36 Sombra 10,,,,
