Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 1,Capa,1,Mônica,Cebolinha,Kraker,,,,,,
Page 2,1,1,Mônica,Cebolinha,Zephyrus,,,,,,
Page 3,1,1,Mônica,Cebolinha,Magali,Cascão,Robóris,,,,
Page 4,1,1,Cascão,Robóris,,,,,,,
Page 5,1,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Robóris,,,
Page 6,1,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Robóris,,,
Page 7,1,1,Cebolinha,Cascão,,,,,,,
Page 8,1,1,Cebolinha,Cascão,#1tmj03 Robô-Ofurô,,,,,,
Page 9,1,1,Mônica,Cebolinha,Magali,#1tmj03 Robô-Roupa,,,,,
Page 10,1,1,Mônica,Cebolinha,Magali,#1tmj03 Robô-Cozinheiro,,,,,
Page 11,1,1,Mônica,Cebolinha,Magali,,,,,,
Page 12,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 13,1,1,Mônica,Cebolinha,Magali,Cascão,Robóris,,,,
Page 14,1,1,Mônica,Cebolinha,Magali,Robóris,#1tmj03 Motox 3D 228 1,#1tmj03 Motox 3D 228 2,,,
Page 15,1,1,Cebolinha,Cascão,Robóris,#1tmj03 Motox 3D 228 1,,,,,
Page 16,1,1,Mônica,Cebolinha,#1tmj03 Motox 3D 228 1,#1tmj03 Motox 3D 228 2,,,,,
Page 17,1,1,Capitão Feio,Yuka,,,,,,,
Page 18,1,1,Capitão Feio,Yuka,,,,,,,
Page 19,1,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 20,1,1,Franjinha,Prof Falconi,,,,,,,
Page 21,1,1,Franjinha,Marina,Denise,Maria Cascuda,,,,,
Page 22,1,1,Marina,Denise,Maria Cascuda,,,,,,
Page 23,2,1,Mônica,Cebolinha,Magali,Cascão,Robóris,#1tmj03 Roboy Geórgio,#1tmj03 Figurante 1,#1tmj03 Figurante 2,#1tmj03 Figurante 3
Page 24,2,1,Mônica,Cebolinha,Magali,Cascão,Robóris,#1tmj03 Roboy Geórgio,#1tmj03 Figurante 1,#1tmj03 Figurante 2,#1tmj03 Figurante 3
Page 25,2,1,Cebolinha,Cascão,Bloguinho,Robóris,,,,,
Page 26,2,1,Mônica,Magali,Bloguinho,,,,,,
Page 27,2,1,Magali,Cascão,Bloguinho,Kraker,,,,,
Page 28,2,1,Mônica,Cebolinha,Magali,Cascão,Bloguinho,,,,
Page 29,2,1,Mônica,Cebolinha,Bloguinho,Robóris,,,,,
Page 30,2,1,Magali,Cascão,Bloguinho,,,,,,
Page 31,2,1,Mônica,Cebolinha,Magali,Bloguinho,,,,,
Page 32,2,1,Mônica,Cebolinha,Bloguinho,,,,,,
Page 33,2,1,Mônica,Bloguinho,,,,,,,
Page 34,2,1,Mônica,Bloguinho,Coelho de Ferro,,,,,,
Page 35.1,2,0.5,Cebolinha,Bloguinho,,,,,,,
Page 35.2,2,0.5,Magali,Bloguinho,#1tmj03 Figurante 4,#1tmj03 Figurante 5,,,,,
Page 36.1,2,0.5,Cascão,Bloguinho,#1tmj03 Motox 3D 228 2,,,,,,
Page 36.2,2,0.5,Mônica,Bloguinho,Coelho de Ferro,,,,,,
Page 37,2,1,Cascão,#1tmj03 Motox 3D 228 2,#1tmj03 Alien Tomboniano 1,,,,,,
Page 38,2,1,Magali,#1tmj03 Robô Fofo 1,,,,,,,
Page 39,2,1,Magali,#1tmj03 Robô Fofo 1,,,,,,,
Page 40,2,1,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 41,2,1,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 42,2,1,Mônica,Bloguinho,,,,,,,
Page 43,2,1,Mônica,Bloguinho,Kraker,,,,,,
Page 44,2,1,Cascão,Bloguinho,#1tmj03 Alien Tomboniano 1,#1tmj03 Alien Tomboniano 2,,,,,
Page 45,2,1,Cascão,Bloguinho,#1tmj03 Alien Tomboniano 1,#1tmj03 Alien Tomboniano 2,#1tmj03 Alien Tomboniano 3,#1tmj03 Alien Tomboniano 4,#1tmj03 Alien Tomboniano 5,,
Page 46,2,1,Magali,#1tmj03 Robô Fofo 1,#1tmj03 Robô Fofo 2,#1tmj03 Robô Fofo 3,,,,,
Page 47,2,1,Magali,Cabeleira Negra,,,,,,,
Page 48,2,1,Franjinha,Prof Falconi,Capitão Feio,Cabeleira Negra,Yuka,,,,
Page 49,2,1,Magali,Cabeleira Negra,,,,,,,
Page 50,2,1,Cebolinha,Bloguinho,Professor Spada / Doutor Spam,,,,,,
Page 51,2,1,Cebolinha,Bloguinho,Professor Spada / Doutor Spam,,,,,,
Page 52,2,1,Cebolinha,Professor Spada / Doutor Spam,,,,,,,
Page 53,3,1,Mônica,Bloguinho,Kraker,Coelho de Ferro,,,,,
Page 54,3,1,Mônica,Bloguinho,Kraker,Coelho de Ferro,,,,,
Page 55,3,1,Cascão,Bloguinho,,,,,,,
Page 56,3,1,Magali,Cabeleira Negra,,,,,,,
Page 57,3,1,Magali,Cabeleira Negra,,,,,,,
Page 58,3,1,Magali,Astronauta,Cabeleira Negra,,,,,,
Page 59,3,1,Magali,Xabéu,Astronauta,Cabeleira Negra,,,,,
Page 60,3,1,Magali,Bloguinho,Astronauta,Computador,,,,,
Page 61,3,1,Magali,Bloguinho,Astronauta,Computador,,,,,
Page 62,3,1,Mônica,Cebolinha,Cascão,Coelho de Ferro,#1tmj03 Motox 3D 228 2,,,,
Page 63,3,1,Mônica,Cebolinha,Magali,Cascão,Coelho de Ferro,,,,
Page 64,3,1,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 65,3,1,Mônica,Cebolinha,Magali,Cascão,Astronauta,Coelho de Ferro,,,
Page 66,3,1,Cebolinha,Magali,Cascão,Astronauta,Kraker,,,,
Page 67,3,1,Cebolinha,Astronauta,Kraker,,,,,,
Page 68,3,1,Mônica,Cebolinha,Magali,Cascão,Astronauta,Kraker,Coelho de Ferro,,
Page 69.1,3,0.5,Mônica,Kraker,Coelho de Ferro,,,,,,
Page 69.2,3,0.5,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 70,3,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 71,3,1,Capitão Feio,Yuka,,,,,,,
Page 72,3,1,Cebolinha,Magali,Cascão,Bloguinho,,,,,
Page 73,3,1,Cebolinha,Magali,Cascão,Zephyrus,,,,,
Page 74,3,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Kraker,Coelho de Ferro,,
Page 75,3,1,Cebolinha,Magali,Cascão,Bloguinho,,,,,
