Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13
Page 1,Capa,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 2,,,,,,,,,,,,,,,
Page 3,,,,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,
Page 5,1,1,#1tmj_10 Professor 1,#1tmj_10 Estudante 1,#1tmj_10 Estudante 2,#1tmj_10 Estudante 3,#1tmj_10 Estudante 4,#1tmj_10 Estudante 5,#1tmj_10 Estudante 6,#1tmj_10 Estudante 7,#1tmj_10 Estudante 8,,,,
Page 6,1,1,Cebolinha,Cascão,#1tmj_10 Estudante 1,#1tmj_10 Estudante 2,#1tmj_10 Estudante 3,#1tmj_10 Estudante 4,#1tmj_10 Estudante 5,#1tmj_10 Estudante 6,#1tmj_10 Estudante 7,#1tmj_10 Estudante 8,,,
Page 7,1,1,Cebolinha,Cascão,#1tmj_10 Estudante 1,#1tmj_10 Estudante 2,#1tmj_10 Estudante 3,#1tmj_10 Estudante 4,#1tmj_10 Estudante 5,#1tmj_10 Estudante 6,#1tmj_10 Estudante 7,#1tmj_10 Estudante 8,,,
Page 8,1,1,Mônica,Cebolinha,Magali,Cascão,#1tmj_10 Estudante 1,#1tmj_10 Estudante 2,#1tmj_10 Estudante 3,#1tmj_10 Estudante 4,#1tmj_10 Estudante 5,#1tmj_10 Estudante 6,#1tmj_10 Estudante 7,#1tmj_10 Estudante 8,
Page 9,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 10,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 11,1,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 12,1,1,Mônica,,,,,,,,,,,,
Page 13,1,1,Mônica,,,,,,,,,,,,
Page 14,1,1,Mônica,Seu Souza,,,,,,,,,,,
Page 15,1,1,Mônica,,,,,,,,,,,,
Page 16,1,1,Mônica,,,,,,,,,,,,
Page 17,2,1,Mônica,,,,,,,,,,,,
