Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 1,Capa,Cebolinha,Cascão,Mônica,Cebolinha do Futuro,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,,
Page 3,,Cebolinha,Cascão,Mônica,Cebolinha do Futuro,,,,,,,,,,,,
Page 4,1,Cascão,Cebolinha,,,,,,,,,,,,,,
Page 5,1,Cascão,Cebolinha,Pai 1 - gibi 9,Criança 1 - gibi 9,Criança 2 - gibi 9,Criança 3 - gibi 9,Criança 4 - gibi 9,Figurante 1 - gibi 9,Cebolinha do Futuro,,,,,,,
Page 6,1,Cascão,Cebolinha do Futuro,Criança 5 - gibi 9,,,,,,,,,,,,,
Page 7,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 8,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 9,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 10,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 11,1,Cebolinha,Cebolinha do Futuro,Filho do Cebolinha do Futuro,Franjinha do Futuro,Criança 6 - gibi 9,Criança 7 - gibi 9,Criança 8 - gibi 9,Criança 9 - gibi 9,,,,,,,,
Page 12,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 13,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 14,1,Cascão,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,
Page 15,1,Cascão,Cebolinha,Cebolinha do Futuro,Seu Antenor,,,,,,,,,,,,
Page 16,1,Criança 10 - gibi 9,Criança 11 - gibi 9,Cebolinha,Cebolinha do Futuro,Muminho,Zé Vampir,,,,,,,,,,
Page 17,1,Cebolinha,Cebolinha do Futuro,,,,,,,,,,,,,,
Page 18,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,
Page 19,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,
